"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",1.92469495262422,1.01694332996536,1.92469495262422,1.92469495262422,1.92469495262422,1.92469495262422,1.01694332996536,2,1.92469495262422,1.92469495262422,0.895471847769438,1.67723616348074,1.67723616348074,1.67723616348074,1.92469495262422,2,1.78497266149325,1.92469495262422,1.92469495262422,1.92469495262422,1.92469495262422,0.502554947415089,2,1.92469495262422,1.67723616348074,1.67723616348074,1.67723616348074,1.92469495262422,2,1.78497266149325,0.55233151251554,0.55233151251554,1.92469495262422,2,1.78497266149325,0.185182349338292,1.92469495262422,2,1.78497266149325,1.92469495262422,2,1.78497266149325,2,1.92469495262422,2
"2",1.86318252119016,0.995203050942142,1.86318252119016,1.86318252119016,1.86318252119016,1.86318252119016,0.995203050942142,2,1.86318252119016,1.86318252119016,0.842195209809877,1.54812292351574,1.54812292351574,1.54812292351574,1.86318252119016,2,1.67253125431234,1.86318252119016,1.86318252119016,1.86318252119016,1.86318252119016,0.490473768036947,2,1.86318252119016,1.54812292351574,1.54812292351574,1.54812292351574,1.86318252119016,2,1.67253125431234,0.361434030877579,0.361434030877579,1.86318252119016,2,1.67253125431234,0.111948234753162,1.86318252119016,2,1.67253125431234,1.86318252119016,2,1.67253125431234,2,1.86318252119016,2
"3",2,1.26418630515037,2,2,2,2,1.26418630515037,1.85336262309103,2,2,0.9840607464648,1.50426731739761,1.50426731739761,1.50426731739761,2,2,1.77877035717412,2,2,2,2,0.615654917144776,1.85336262309103,2,1.50426731739761,1.50426731739761,1.50426731739761,2,2,1.77877035717412,0.459885338654999,0.459885338654999,2,2,1.77877035717412,0.0593944434466489,2,2,1.77877035717412,2,2,1.77877035717412,1.85336262309103,2,2
"4",2,0.813380859966209,2,2,2,2,0.813380859966209,1.65411842622191,2,2,0.801492671889122,1.39707261989356,1.39707261989356,1.39707261989356,2,2,1.52205759227495,2,2,2,2,0.41553512276491,1.65411842622191,2,1.39707261989356,1.39707261989356,1.39707261989356,2,2,1.52205759227495,0.232943116169932,0.232943116169932,2,2,1.52205759227495,0.085052027762452,2,2,1.52205759227495,2,2,1.52205759227495,1.65411842622191,2,2
"5",2,1.22215644727544,2,2,2,2,1.22215644727544,1.92725264535835,2,2,0.985384128324187,1.60882875010079,1.60882875010079,1.60882875010079,2,2,1.56567715719428,2,2,2,2,0.656606162937949,1.92725264535835,2,1.60882875010079,1.60882875010079,1.60882875010079,2,2,1.56567715719428,0.562833485896956,0.215543940694647,2,2,1.60882875010079,0.562833485896956,2,2,1.60882875010079,2,2,1.60882875010079,1.92725264535835,2,2
"6",1.97247947581754,0.951798142869299,1.97247947581754,1.97247947581754,1.97247947581754,1.97247947581754,0.951798142869299,2,1.97247947581754,1.97247947581754,1.00308944954652,1.54581742165872,1.54581742165872,1.54581742165872,1.97247947581754,2,1.75225057489581,1.97247947581754,1.97247947581754,1.97247947581754,1.97247947581754,0.894156693233176,2,1.97247947581754,1.54581742165872,1.54581742165872,1.54581742165872,1.97247947581754,2,1.75225057489581,0.392933010896599,0.392933010896599,1.97247947581754,2,1.75225057489581,0.202086659057126,1.97247947581754,2,1.75225057489581,1.97247947581754,2,1.75225057489581,2,1.97247947581754,2
"7",2,1.24506330909864,2,2,2,2,1.24506330909864,2,1.82831530735641,2,0.938576211842527,1.56881398279955,1.56881398279955,1.56881398279955,2,1.86034243995608,2,2,2,2,2,0.648339997949965,2,1.82831530735641,1.56881398279955,1.56881398279955,1.56881398279955,2,1.86034243995608,2,0.390962653598547,0.390962653598547,2,1.86034243995608,2,0.133974875953364,2,1.86034243995608,2,2,1.86034243995608,2,2,1.82831530735641,2
"8",1.94457534852399,1.02796790404069,1.94457534852399,1.94457534852399,1.94457534852399,1.94457534852399,1.02796790404069,2,1.94457534852399,1.94457534852399,0.884640915553694,1.60366709096703,1.60366709096703,1.60366709096703,1.94457534852399,2,1.69419288841697,1.94457534852399,1.94457534852399,1.94457534852399,1.94457534852399,0.908564773981729,2,1.94457534852399,1.60366709096703,1.60366709096703,1.60366709096703,1.94457534852399,2,1.69419288841697,0.295365789206958,0.379630572064675,1.94457534852399,2,1.69419288841697,0.379630572064675,1.94457534852399,2,1.69419288841697,1.94457534852399,2,1.69419288841697,2,1.94457534852399,2
"9",2,0.957788002288175,2,2,2,2,1.16700068966611,2,2,2,1.5063860435188,1.89328590561709,1.89328590561709,1.89328590561709,2,1.86808450620505,1.89328590561709,2,2,2,2,1.16700068966611,2,2,1.89328590561709,1.89328590561709,1.89328590561709,2,1.86808450620505,1.89328590561709,1.06758171262148,0.23345862565203,2,1.89328590561709,1.66907629374882,1.06758171262148,2,1.89328590561709,1.66907629374882,2,1.89328590561709,1.66907629374882,2,2,1.89328590561709
"10",1.97213413037134,0.988997254639326,1.97213413037134,1.97213413037134,1.97213413037134,1.97213413037134,0.988997254639326,2,1.97213413037134,1.97213413037134,1.0699704504687,1.5223231257801,1.5223231257801,1.5223231257801,1.97213413037134,2,1.91876677215867,1.97213413037134,1.97213413037134,1.97213413037134,1.97213413037134,0.748019053488842,2,1.97213413037134,1.5223231257801,1.5223231257801,1.5223231257801,1.97213413037134,2,1.91876677215867,0.40184958634466,0.40184958634466,1.97213413037134,2,1.91876677215867,0.211234423902726,1.97213413037134,2,1.91876677215867,1.97213413037134,2,1.91876677215867,2,1.97213413037134,2
"11",2,0.856030360151036,2,2,2,2,0.856030360151036,1.6472278234224,2,2,0.746410099076148,1.31661646686409,1.31661646686409,1.31661646686409,2,2,1.51353536082713,2,2,2,2,0.45017721221668,1.6472278234224,2,1.31661646686409,1.31661646686409,1.31661646686409,2,2,1.51353536082713,0.464947321183742,0.464947321183742,2,2,1.51353536082713,0.121682489795281,2,2,1.51353536082713,2,2,1.51353536082713,1.6472278234224,2,2
"12",2,0.855530103363803,2,2,2,2,0.855530103363803,2,2,2,0.850730698658017,1.4438253972991,1.4438253972991,1.4438253972991,2,1.8058089100203,1.53261308323431,2,2,2,2,0.497856050696663,2,2,1.4438253972991,1.4438253972991,1.4438253972991,2,1.8058089100203,1.53261308323431,0.585555131371483,0.585555131371483,2,1.8058089100203,1.53261308323431,0.0624573172664752,2,1.8058089100203,1.53261308323431,2,1.8058089100203,1.53261308323431,2,2,1.8058089100203
"13",1.99562178482095,1.11244947714296,1.99562178482095,1.99562178482095,1.99562178482095,1.99562178482095,1.11244947714296,2,1.99562178482095,1.99562178482095,0.867182227659379,1.54385279404981,1.54385279404981,1.54385279404981,1.99562178482095,2,1.79003676125811,1.99562178482095,1.99562178482095,1.99562178482095,1.99562178482095,0.643356736133962,2,1.99562178482095,1.54385279404981,1.54385279404981,1.54385279404981,1.99562178482095,2,1.79003676125811,0.320991792712233,0.320991792712233,1.99562178482095,2,1.79003676125811,0.123227276503646,1.99562178482095,2,1.79003676125811,1.99562178482095,2,1.79003676125811,2,1.99562178482095,2
"14",2,0.718887886919294,2,2,2,2,0.718887886919294,1.56997365129093,2,2,0.709355335939022,1.61030679157566,1.61030679157566,1.61030679157566,2,2,1.61030679157566,2,2,2,2,0.557447102854405,1.56997365129093,2,1.61030679157566,1.61030679157566,1.61030679157566,2,2,1.61030679157566,0.218160572703473,0.218160572703473,2,2,1.39579931691935,0.0853557279918853,2,2,1.39579931691935,2,2,1.39579931691935,1.56997365129093,2,2
"15",2,0.929945988850452,2,2,2,2,1.10595891200815,2,2,2,0.929810820040744,1.46159394697741,1.46159394697741,1.46159394697741,2,1.80716087116535,1.67914406392392,2,2,2,2,1.10595891200815,2,2,1.46159394697741,1.46159394697741,1.46159394697741,2,1.80716087116535,1.67914406392392,0.270372091999547,0.724263511961716,2,1.80716087116535,1.67914406392392,0.724263511961716,2,1.80716087116535,1.67914406392392,2,1.80716087116535,1.67914406392392,2,2,1.80716087116535
"16",2,0.82479241968233,2,2,2,2,0.82479241968233,1.75340293478104,2,2,0.985244877093444,1.45802687095892,1.45802687095892,1.45802687095892,2,2,1.5571064038132,2,2,2,2,0.644140950131763,1.75340293478104,2,1.45802687095892,1.45802687095892,1.45802687095892,2,2,1.5571064038132,0.314189767147157,0.314189767147157,2,2,1.5571064038132,0.271137479659577,2,2,1.5571064038132,2,2,1.5571064038132,1.75340293478104,2,2
"17",1.86927352972673,0.905620660541592,1.86927352972673,1.86927352972673,1.86927352972673,1.86927352972673,0.905620660541592,2,1.86927352972673,1.86927352972673,0.959594170287749,1.67536229405625,1.67536229405625,1.67536229405625,1.86927352972673,2,1.77943465845041,1.86927352972673,1.86927352972673,1.86927352972673,1.86927352972673,0.89594004941934,2,1.86927352972673,1.67536229405625,1.67536229405625,1.67536229405625,1.86927352972673,2,1.77943465845041,0.254316079488996,0.254316079488996,1.86927352972673,2,1.77943465845041,0.197780791318284,1.86927352972673,2,1.77943465845041,1.86927352972673,2,1.77943465845041,2,1.86927352972673,2
