"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",1.12130556275157,2,2,0.338250355050731,0.485224053138321,1.12130556275157,0.825991658995659,1.12130556275157,0.485224053138321,2,2,1.12130556275157,1.12130556275157,0.0934045038965986,1.12130556275157,0.758902378711905,1.12130556275157,0.573539991460351,2,2,2,2,2,2,2,2,2,2,2,2,0.485224053138321,1.12130556275157,0.825991658995659,1.12130556275157,0.485224053138321,1.12130556275157,0.825991658995659,1.12130556275157,0.333373130415995,1.12130556275157,0.758902378711905,1.12130556275157,1.12130556275157,0.825991658995659,1.12130556275157
"2",1.27793076231557,2,2,0.646387320959654,0.646387320959654,1.27793076231557,1.09369047856742,1.27793076231557,0.646387320959654,2,2,1.27793076231557,1.27793076231557,0.0227507292010993,1.27793076231557,1.01276930771436,1.27793076231557,0.545331251908815,2,2,2,2,2,2,2,2,2,2,2,2,0.521375643142675,1.27793076231557,1.09369047856742,1.27793076231557,0.521375643142675,1.27793076231557,1.09369047856742,1.27793076231557,0.225866604943704,1.27793076231557,1.01276930771436,1.27793076231557,1.27793076231557,1.09369047856742,1.27793076231557
"3",1.40620506019965,2,2,0.27525731953809,0.590147154701964,1.40620506019965,1.40620506019965,1.40620506019965,0.590147154701964,2,2,1.40620506019965,1.40620506019965,0.534342900663287,1.08019225632933,0.952182477895304,1.40620506019965,0.588051509394131,2,2,2,2,2,2,2,2,2,2,2,2,0.590147154701964,1.40620506019965,1.40620506019965,1.40620506019965,0.590147154701964,1.40620506019965,1.40620506019965,1.40620506019965,0.171154319410961,1.08019225632933,0.952182477895304,1.40620506019965,1.08019225632933,1.40620506019965,1.40620506019965
"4",1.16097631945412,2,2,0.160340789722284,0.547696632993373,1.16097631945412,1.02224701643891,1.16097631945412,0.547696632993373,2,2,1.16097631945412,1.16097631945412,0.0337790582054168,1.16097631945412,0.957571848401406,1.16097631945412,0.452856271418218,2,2,2,2,2,2,2,2,2,2,2,2,0.547696632993373,1.16097631945412,1.02224701643891,1.16097631945412,0.547696632993373,1.16097631945412,1.02224701643891,1.16097631945412,0.166682680287927,1.16097631945412,0.957571848401406,1.16097631945412,1.16097631945412,1.02224701643891,1.16097631945412
"5",1.0564062895441,2,2,0.285751162782005,0.789057173056132,1.0564062895441,0.976158598781995,1.0564062895441,0.789057173056132,2,2,1.0564062895441,1.0564062895441,0.23826053572956,1.0564062895441,0.742198042229771,1.0564062895441,0.338649086210449,2,2,2,2,2,2,2,2,2,2,2,2,0.789057173056132,1.0564062895441,0.976158598781995,1.0564062895441,0.789057173056132,1.0564062895441,0.976158598781995,1.0564062895441,0.0791938484527793,1.0564062895441,0.742198042229771,1.0564062895441,1.0564062895441,0.976158598781995,1.0564062895441
"6",1.19292698022583,2,2,0.13284604449124,0.526183024686321,1.19292698022583,0.952949097898372,1.19292698022583,0.526183024686321,2,2,1.19292698022583,1.19292698022583,0.211024165070869,1.19292698022583,0.730721357294776,1.19292698022583,0.478928021307889,2,2,2,2,2,2,2,2,2,2,2,2,0.526183024686321,1.19292698022583,0.952949097898372,1.19292698022583,0.526183024686321,1.19292698022583,0.952949097898372,1.19292698022583,0.349879253873845,1.19292698022583,0.730721357294776,1.19292698022583,1.19292698022583,0.952949097898372,1.19292698022583
"7",1.3495520317086,2,2,0.403817088468847,0.505663523878331,1.3495520317086,0.7877380558572,1.3495520317086,0.505663523878331,2,2,1.3495520317086,1.3495520317086,0.0511352627425525,1.3495520317086,0.751854294502316,1.3495520317086,0.403211510063921,2,2,2,2,2,2,2,2,2,2,2,2,0.505663523878331,1.3495520317086,0.7877380558572,1.3495520317086,0.505663523878331,1.3495520317086,0.7877380558572,1.3495520317086,0.0683581348092532,1.3495520317086,0.751854294502316,1.3495520317086,1.3495520317086,0.7877380558572,1.3495520317086
"8",1.74001983503548,2,2,0.171450723294828,0.477752145601371,1.74001983503548,0.800168558783384,1.74001983503548,0.477752145601371,2,2,1.74001983503548,1.74001983503548,0.187908156578808,1.74001983503548,0.719534847531649,1.74001983503548,0.735362480568344,2,2,2,2,2,2,2,2,2,2,2,2,0.477752145601371,1.74001983503548,0.800168558783384,1.74001983503548,0.477752145601371,1.74001983503548,0.800168558783384,1.74001983503548,0.311696037835755,1.74001983503548,0.719534847531649,1.74001983503548,1.74001983503548,0.800168558783384,1.74001983503548
"9",1.51426717164526,2,2,0.134272977038644,0.506342881225801,1.51426717164526,0.802375965766783,1.51426717164526,0.506342881225801,2,2,1.51426717164526,1.51426717164526,0.14193781359917,1.51426717164526,0.776878983307228,1.51426717164526,0.529049267850213,2,2,2,2,2,2,2,2,2,2,2,2,0.506342881225801,1.51426717164526,0.802375965766783,1.51426717164526,0.506342881225801,1.51426717164526,0.802375965766783,1.51426717164526,0.24011717640358,1.51426717164526,0.776878983307228,1.51426717164526,1.51426717164526,0.802375965766783,1.51426717164526
"10",1.23767693396687,2,2,0.099176662608883,0.428352127013663,1.23767693396687,0.686884699537735,1.23767693396687,0.428352127013663,2,2,1.23767693396687,1.23767693396687,0.123498393500297,1.23767693396687,0.625424682803153,1.23767693396687,0.952357592435405,2,2,2,2,2,2,2,2,2,2,2,2,0.428352127013663,1.23767693396687,0.686884699537735,1.23767693396687,0.428352127013663,1.23767693396687,0.686884699537735,1.23767693396687,0.16403837072435,1.23767693396687,0.625424682803153,1.23767693396687,1.23767693396687,0.686884699537735,1.23767693396687
