"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",2,2,1.18849560921726,2,1.18849560921726,1.03379395086368,1.03379395086368,1.18849560921726,1.3320134649946,1.36813218773002,2,1.36813218773002,2,2,2,2,2,2,0.304729129059041,2,2,2,2,2,2,0.202533755807173,1.18849560921726,1.18849560921726,0.202533755807173,1.3320134649946,2,2,2,2,2,1.18849560921726,1.18849560921726,0.177323584977801,1.3320134649946,0.726699822382681,1.18849560921726,1.3320134649946,1.18849560921726,1.3320134649946,1.3320134649946
"2",2,2,1.1558769357399,2,1.1558769357399,1.56564949299031,1.19818244495479,1.1558769357399,1.19818244495479,1.02625565139399,2,1.02625565139399,2,2,2,2,2,2,0.594320958900439,2,2,2,2,2,2,0.22150515200179,1.56564949299031,1.19818244495479,0.43460848207522,1.19818244495479,2,2,2,2,2,1.56564949299031,1.19818244495479,0.43460848207522,1.19818244495479,1.56564949299031,1.56564949299031,1.56564949299031,1.19818244495479,0.909787429894233,1.19818244495479
"3",2,2,0.755856227541815,2,0.755856227541815,0.780184350677172,0.780184350677172,0.755856227541815,2,0.621980721735113,2,0.621980721735113,2,2,2,2,1.20663935435302,2,0.441686914145367,2,2,2,2,1.20663935435302,2,0.149551830784414,0.780184350677172,0.780184350677172,0.0816754506318473,2,2,2,2,2,1.20663935435302,0.780184350677172,0.780184350677172,0.149551830784414,2,0.725079729252365,0.780184350677172,2,0.780184350677172,2,2
"4",2,2,1.62937953790348,2,1.62937953790348,1.62937953790348,1.05172121114198,1.62937953790348,1.05172121114198,1.35340707241039,2,1.35340707241039,2,2,2,2,2,2,0.421508824639248,2,2,2,2,2,2,0.59775897140746,1.19799145783436,1.62937953790348,0.142616589739826,1.62937953790348,2,2,2,2,2,1.19799145783436,1.62937953790348,0.59775897140746,1.62937953790348,1.62937953790348,1.19799145783436,1.62937953790348,1.62937953790348,1.00279656777596,1.62937953790348
"5",2,2,1.18725504521265,2,1.18725504521265,1.06210856230885,1.06210856230885,1.18725504521265,1.06210856230885,0.885700501151698,2,0.885700501151698,2,2,2,2,2,2,0.294674818107124,2,2,2,2,2,2,0.29143379973937,1.18725504521265,1.18725504521265,0.95205410424624,1.18725504521265,2,2,2,2,2,1.18725504521265,1.18725504521265,0.95205410424624,1.18725504521265,0.956068682689529,1.18725504521265,1.035481566649,1.18725504521265,1.035481566649,1.18725504521265
"6",2,2,1.70769219103625,2,1.70769219103625,1.70769219103625,1.70769219103625,1.70769219103625,1.02134758219564,1.55932385828266,2,1.55932385828266,2,2,2,2,2,2,0.0385642795952542,2,2,2,2,2,2,0.554630114721912,1.37593213133034,1.37593213133034,0.802257814938348,1.70769219103625,2,2,2,2,2,1.37593213133034,1.37593213133034,0.802257814938348,1.70769219103625,0.847766227271353,1.37593213133034,1.70769219103625,1.37593213133034,1.70769219103625,1.70769219103625
"7",1.9927111401374,1.9927111401374,2,1.9927111401374,2,2,2,2,0.92621581010691,0.714791502615011,2,1.98999080664221,2,2,2,2,1.9927111401374,2,1.98999080664221,2,2,2,2,1.9927111401374,2,0.418888453572838,1.1307032231059,1.08903557198237,0.418888453572838,2,2,2,2,2,1.9927111401374,1.1307032231059,1.08903557198237,0.15274656412799,2,1.1307032231059,1.1307032231059,2,1.08903557198237,2,2
"8",2,2,0.712613102299538,2,0.712613102299538,0.712613102299538,0.712613102299538,0.712613102299538,0.712613102299538,0.396566230000352,2,0.396566230000352,2,2,2,2,2,2,0.0637955647073585,2,2,2,2,2,2,0.262993496545868,0.596503532188779,0.596503532188779,0.421325503747092,0.596503532188779,2,2,2,2,2,0.596503532188779,0.596503532188779,0.421325503747092,0.596503532188779,0.51248314060088,0.596503532188779,0.537267049498108,0.596503532188779,0.537267049498108,0.596503532188779
"9",2,2,0.942278581965779,2,0.942278581965779,0.845933702853883,0.845933702853883,0.942278581965779,0.891403933921234,1.42872487998603,2,1.42872487998603,2,2,2,2,2,2,0.269210801996245,2,2,2,2,2,2,0.423186716509351,0.942278581965779,0.942278581965779,0.398331568574986,0.942278581965779,2,2,2,2,2,0.942278581965779,0.942278581965779,0.423186716509351,0.942278581965779,0.58025193530766,0.942278581965779,0.891403933921234,0.942278581965779,0.891403933921234,0.942278581965779
"10",2,2,0.974241476874142,2,0.974241476874142,0.974241476874142,0.974241476874142,0.974241476874142,1.42179766450122,0.670277454118949,2,0.670277454118949,2,2,2,2,2,2,0.0417253124115876,2,2,2,2,2,2,0.215293925347819,0.960455236582041,0.960455236582041,0.455565342923067,1.42179766450122,2,2,2,2,2,0.960455236582041,0.960455236582041,0.455565342923067,1.42179766450122,0.770821098052084,0.960455236582041,1.42179766450122,0.960455236582041,1.42179766450122,1.42179766450122
"11",2,2,2,2,2,2,2,2,1.06477022914868,0.787291388311754,1.70932592478073,0.787291388311754,1.70932592478073,1.70932592478073,1.70932592478073,1.70932592478073,2,1.70932592478073,0.413190765341414,1.70932592478073,1.70932592478073,1.70932592478073,1.70932592478073,2,1.70932592478073,0.253780075423445,1.15105344372423,1.15105344372423,0.253780075423445,2,1.70932592478073,1.70932592478073,1.70932592478073,1.70932592478073,2,1.15105344372423,1.15105344372423,0.208447241505436,2,0.554240400604829,1.15105344372423,2,1.15105344372423,2,2
"12",2,2,1.27050119041405,2,1.27050119041405,1.02621804049159,1.02621804049159,1.27050119041405,1.02621804049159,0.76688101759073,2,0.76688101759073,2,2,2,2,2,2,0.582444614876372,2,2,2,2,2,2,0.194404404754197,1.27050119041405,1.27050119041405,0.754596237401005,1.27050119041405,2,2,2,2,2,1.27050119041405,1.27050119041405,0.754596237401005,1.27050119041405,0.623528082068289,1.27050119041405,1.0189816162704,1.27050119041405,1.0189816162704,1.27050119041405
